Level,DC,MBR,WRKGRP,HYP-V,DEFAULT,ID
L1,Y,Y,Y,Y,APPLY,18.10.56.3.11.1
L1,Y,Y,Y,Y,APPLY,18.10.56.3.11.2
L1,Y,Y,Y,Y,APPLY,18.10.57.1
L2,Y,Y,Y,Y,APPLY,18.10.58.2
L2,Y,Y,Y,Y,APPLY,18.10.58.3
L2,Y,Y,Y,Y,APPLY,18.10.58.4
L2,Y,Y,Y,Y,APPLY,18.10.62.1
L1,Y,Y,Y,Y,APPLY,18.10.75.1.1.1
L1,Y,Y,Y,Y,APPLY,18.10.75.1.1.2
L2,Y,Y,Y,Y,APPLY,18.10.79.1
L1,Y,Y,Y,Y,APPLY,18.10.79.2
L1,Y,Y,Y,Y,APPLY,18.10.80.1
L1,Y,Y,Y,Y,APPLY,18.10.80.2
L2,Y,Y,Y,Y,APPLY,18.10.80.3
L1,Y,Y,Y,Y,APPLY,18.10.81.1
L1,Y,Y,Y,Y,APPLY,18.10.81.2
L2,Y,Y,Y,Y,APPLY,18.10.86.1
L2,Y,Y,Y,Y,APPLY,18.10.86.2
L1,Y,Y,Y,Y,APPLY,18.10.88.1.1
L1,Y,Y,Y,Y,TEST,18.10.88.1.2
L1,Y,Y,Y,Y,APPLY,18.10.88.1.3
L1,Y,Y,Y,Y,APPLY,18.10.88.2.1
L2,Y,Y,Y,Y,TEST,18.10.88.2.2
L1,Y,Y,Y,Y,TEST,18.10.88.2.3
L1,Y,Y,Y,Y,TEST,18.10.88.2.4
L1,Y,Y,Y,Y,TEST,18.10.89.1
L1,Y,Y,Y,Y,APPLY,18.10.91.2.1
L1,Y,Y,Y,Y,APPLY,18.10.92.1.1
L1,Y,Y,Y,Y,APPLY,18.10.92.2.1
L1,Y,Y,Y,Y,APPLY,18.10.92.2.2
L1,Y,Y,Y,Y,APPLY,18.10.92.4.1.1
L1,Y,Y,Y,Y,APPLY,18.10.92.4.1.2
L1,Y,Y,Y,Y,APPLY,18.10.92.4.2.1
L1,Y,Y,Y,Y,APPLY,18.10.92.4.2.2
L1,Y,Y,Y,Y,APPLY,18.10.92.4.2.3
L1,Y,Y,Y,Y,APPLY,18.10.92.4.3.1
L1,Y,Y,Y,Y,APPLY,18.10.92.4.3.2
